City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,asau,46.4333,26.4,-6.49,94,28,2.4,RO,1675043972
161,tilichiki,60.4667,166.1,-1.32,87,98,9.45,RU,1675043973
162,nakusp,50.2499,-117.8023,-5.81,45,90,2.57,CA,1675043973
163,newport,51.5877,-2.9984,9.62,93,98,4.38,GB,1675043819
164,coquimbo,-29.9533,-71.3436,16.85,88,0,3.6,CL,1675043976
165,rio de janeiro,-22.9028,-43.2075,26.64,88,75,4.12,BR,1675043776
166,avera,33.194,-82.5271,9.65,97,100,2.1,US,1675043983
167,desaguadero,-16.5656,-69.0417,8.3,79,100,0.69,PE,1675043984
168,dukat,62.55,155.55,-16.01,94,100,4.9,RU,1675043984
169,touros,-5.1989,-35.4608,26.46,71,12,5.91,BR,1675043984
170,likasi,-10.9814,26.7333,15.76,97,100,0.7,CD,1675043985
171,kjollefjord,70.9457,27.3465,-0.97,80,20,4.12,NO,1675043985
172,tahta,26.7693,31.5021,16.09,37,2,3.89,EG,1675043985
173,viljoenskroon,-27.2084,26.9485,18.09,77,20,4.2,ZA,1675043987
174,batagay-alyta,67.8006,130.4114,-39.34,95,22,1.39,RU,1675043987
175,byron bay,-28.65,153.6167,30.39,71,91,4.97,AU,1675043987
176,oranjemund,-28.55,16.4333,14.83,90,0,0.59,NA,1675043988
177,cockburn town,21.4612,-71.1419,25.0,74,9,10.0,TC,1675043988
178,cidreira,-30.1811,-50.2056,22.49,89,0,0.19,BR,1675043747
179,nanortalik,60.1432,-45.2371,-4.53,84,100,3.66,GL,1675043862
180,bardiyah,31.7561,25.0865,12.54,62,0,4.01,LY,1675043988
181,iqaluit,63.7506,-68.5145,-36.15,75,75,1.54,CA,1675043989
182,maitum,6.0392,124.4986,28.01,78,94,1.4,PH,1675043989
183,zaragoza,41.6561,-0.8773,2.25,75,0,4.12,ES,1675043989
184,llata,-9.4167,-76.7833,11.09,91,100,0.49,PE,1675043990
185,constantine,36.365,6.6147,0.67,100,20,1.03,DZ,1675043990
186,mujiayingzi,42.1167,118.7833,-6.01,57,40,2.02,CN,1675043990
187,abha,18.2164,42.5053,9.9,93,0,0.0,SA,1675043958
188,mehamn,71.0357,27.8492,1.95,80,20,4.12,NO,1675043992
189,tuktoyaktuk,69.4541,-133.0374,-28.0,76,40,2.06,CA,1675043992
190,yueyang,29.3333,113.0919,10.79,23,0,4.05,CN,1675043992
191,sebeta,8.9167,38.6167,12.02,73,65,0.49,ET,1675043993
192,igarka,67.4667,86.5833,-25.63,100,80,0.79,RU,1675043993
193,inhambane,-23.865,35.3833,25.13,84,77,5.89,MZ,1675043993
194,faanui,-16.4833,-151.75,27.68,71,16,5.12,PF,1675043994
195,mount gambier,-37.8333,140.7667,21.49,43,100,4.11,AU,1675043957
196,uusikaupunki,60.8004,21.4084,2.97,95,100,8.69,FI,1675043994
197,buraydah,26.326,43.975,13.25,49,9,4.77,SA,1675043994
198,kaitangata,-46.2817,169.8464,16.97,82,100,4.04,NZ,1675043995
199,lasa,46.6166,10.7002,-4.24,47,8,2.31,IT,1675043995
200,roebourne,-20.7833,117.1333,32.77,41,52,1.93,AU,1675043995
201,sungai besar,3.6746,100.9867,26.33,73,87,1.22,MY,1675043998
202,lata,40.1629,-8.3327,4.4,77,87,1.75,PT,1675043883
203,banyo,6.75,11.8167,20.37,44,75,1.76,CM,1675043998
204,mar del plata,-38.0023,-57.5575,21.6,78,0,8.05,AR,1675043839
205,barber,12.2833,-69.0667,24.99,73,20,6.69,CW,1675044000
206,aswan,24.0934,32.907,17.61,59,0,0.0,EG,1675043761
207,astara,38.5,48.6667,0.99,90,96,0.34,AZ,1675044000
208,seymchan,62.8833,152.4333,-25.05,97,100,5.55,RU,1675044000
209,saint-francois,46.4154,3.9054,-1.31,80,75,1.03,FR,1675044001
210,payakumbuh,-0.2202,100.6308,23.44,86,97,1.09,ID,1675044002
211,altamira,-3.2033,-52.2064,22.18,95,81,0.7,BR,1675044006
212,cilegon,-6.0174,106.0538,26.35,81,91,5.29,ID,1675044009
213,usinsk,65.9939,57.5281,-12.65,94,100,8.37,RU,1675044014
214,sakaiminato,35.55,133.2333,6.12,58,100,10.75,JP,1675044017
215,songjianghe,42.1859,127.479,-10.72,78,100,2.69,CN,1675044031
216,barrow,71.2906,-156.7887,-19.99,84,100,4.63,US,1675044033
217,sakakah,29.9697,40.2064,14.76,47,100,1.14,SA,1675043834
218,chino valley,34.7575,-112.4538,4.5,44,0,3.31,US,1675044034
219,la ronge,55.1001,-105.2842,-22.86,70,40,3.09,CA,1675043863
220,ahuimanu,21.4447,-157.8378,21.03,94,100,1.34,US,1675044043
221,otradnaya,44.3933,41.5206,1.98,73,100,2.51,RU,1675044043
222,fastiv,50.0767,29.9177,-4.04,82,81,3.36,UA,1675044044
223,umm kaddadah,13.6017,26.6876,21.2,12,5,4.87,SD,1675044044
224,marsa matruh,31.3525,27.2453,13.96,61,0,4.84,EG,1675044045
225,tiksi,71.6872,128.8694,-37.58,98,84,2.42,RU,1675044045
226,frankfort,-27.2667,28.4833,14.21,93,99,3.9,ZA,1675044046
227,samarai,-10.6167,150.6667,29.19,74,22,4.37,PG,1675044046
228,olafsvik,64.8945,-23.7142,-2.03,73,43,1.97,IS,1675044046
229,vila velha,-20.3297,-40.2925,24.29,89,49,4.22,BR,1675044036
230,machhlishahr,25.6833,82.4167,11.38,65,2,1.46,IN,1675044047
231,broome,42.2506,-75.833,6.03,77,100,3.13,US,1675044047
232,potosi,-19.5836,-65.7531,8.35,77,90,2.02,BO,1675044048
233,liwale,-9.7667,37.9333,18.98,98,8,1.16,TZ,1675044048
234,torbay,47.6666,-52.7314,-2.46,73,84,1.34,CA,1675044049
235,marijampole,54.5667,23.35,0.57,94,100,7.57,LT,1675044049
236,ribeira grande,38.5167,-28.7,13.21,86,87,3.13,PT,1675044050
237,saint george,37.1041,-113.5841,9.97,40,100,1.54,US,1675044048
238,esperance,-33.8667,121.9,24.83,43,3,0.29,AU,1675044050
239,kavaratti,10.5669,72.642,26.38,74,30,5.67,IN,1675044051
240,cabo san lucas,22.8909,-109.9124,20.28,80,63,4.13,MX,1675044006
241,sibolga,1.7427,98.7792,27.75,71,64,0.7,ID,1675044052
242,magnitogorsk,53.4186,59.0472,-11.54,79,40,6.0,RU,1675043849
243,victoria,22.2855,114.1577,16.81,39,6,1.79,HK,1675043888
244,mstera,56.3789,41.92,-9.51,96,100,2.76,RU,1675044052
245,puerto escondido,15.85,-97.0667,24.87,73,0,2.23,MX,1675044053
246,harare,-17.8294,31.0539,16.89,91,93,2.95,ZW,1675044053
247,hirara,24.8,125.2833,16.15,48,40,6.69,JP,1675043954
248,vila franca do campo,37.7167,-25.4333,12.23,79,26,3.63,PT,1675044054
249,mosquera,4.7059,-74.2302,11.35,84,26,1.35,CO,1675044055
250,palembang,-2.9167,104.7458,26.05,83,40,3.09,ID,1675044016
251,nizhniy kuranakh,58.8353,125.4869,-28.13,94,45,0.42,RU,1675044057
252,san miguel,13.4833,-88.1833,26.07,45,15,0.65,SV,1675043954
253,udachnyy,66.4167,112.4,-37.53,73,98,1.03,RU,1675043850
254,kurtalan,37.9272,41.7028,3.05,93,74,1.14,TR,1675044058
255,eten,-6.9081,-79.8642,21.33,79,6,4.13,PE,1675044059
256,kpandae,8.4689,-0.0113,28.94,33,97,0.55,GH,1675044060
257,champerico,14.3,-91.9167,26.08,67,9,2.61,GT,1675044060
258,griffith,41.5284,-87.4237,-1.73,81,100,5.14,US,1675044061
259,smithers,54.7804,-127.1743,-15.41,98,20,0.34,CA,1675044063
260,kahului,20.8947,-156.47,23.8,83,100,4.02,US,1675043906
261,faya,18.3851,42.4509,11.03,90,40,1.44,SA,1675044066
262,cienfuegos,22.1461,-80.4356,22.32,70,5,5.5,CU,1675044068
263,sao raimundo nonato,-9.0153,-42.6994,21.95,52,0,0.63,BR,1675043772
